Aug 21, 2025  03:58:48 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 1 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1235, Volts
CEM Gain, 1.03E+003 
Sensitivity Factor, 1.99E-005 
Filament Current, 1.00, mAmps
Start time, Aug 21, 2025  03:58:48 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         138.00         Barium                1.00         3            OFF


Time(s)      Channel#1   

421.811,   1.6588E-008,  
422.825,   1.6945E-008,  
423.839,   1.7633E-008,  
424.853,   1.6950E-008,  
425.867,   1.6774E-008,  
426.881,   1.7955E-008,  
427.895,   1.4764E-008,  
428.909,   1.6759E-008,  
429.923,   1.6111E-008,  
430.937,   1.7171E-008,  
431.951,   1.5784E-008,  
432.965,   1.5739E-008,  
433.979,   1.6739E-008,  
434.993,   1.8658E-008,  
436.007,   1.5543E-008,  
437.021,   1.4558E-008,  
438.050,   1.5166E-008,  
439.049,   1.7568E-008,  
440.063,   1.5382E-008,  
441.077,   1.4538E-008,  
442.091,   1.6236E-008,  
443.105,   1.6749E-008,  
444.119,   1.7171E-008,  
445.133,   1.3794E-008,  
446.147,   1.6030E-008,  
447.161,   1.7166E-008,  
448.175,   1.4673E-008,  
449.189,   1.4573E-008,  
450.203,   1.5729E-008,  
451.217,   1.6045E-008,  
452.231,   1.5106E-008,  
453.245,   1.4905E-008,  
454.259,   1.7965E-008,  
455.273,   1.7784E-008,  
456.287,   1.6769E-008,  
457.301,   1.5724E-008,  
458.315,   1.6317E-008,  
459.329,   1.6975E-008,  
460.343,   1.6347E-008,  
461.357,   1.4070E-008,  
462.371,   1.4633E-008,  
463.385,   1.4980E-008,  
464.399,   1.6955E-008,  
465.413,   1.4809E-008,  
466.427,   1.8015E-008,  
467.441,   1.6714E-008,  
468.455,   1.5824E-008,  
469.469,   1.4377E-008,  
470.483,   1.6151E-008,  
471.497,   1.6819E-008,  
472.511,   1.6889E-008,  
473.525,   1.4101E-008,  
474.539,   1.7704E-008,  
475.569,   1.7090E-008,  
476.567,   1.5869E-008,  
477.581,   1.5040E-008,  
478.595,   1.7598E-008,  
479.609,   1.6276E-008,  
480.623,   1.7412E-008,  
481.637,   1.5799E-008,  
482.651,   1.7116E-008,  
483.665,   1.7915E-008,  
484.679,   1.2920E-008,  
485.693,   1.5648E-008,  
486.707,   1.6598E-008,  
487.721,   1.8965E-008,  
488.735,   1.5683E-008,  
489.749,   1.7683E-008,  
490.763,   1.7362E-008,  
491.777,   1.8377E-008,  
492.791,   1.6337E-008,  
493.805,   1.4985E-008,  
494.819,   1.5126E-008,  
495.833,   1.7342E-008,  
496.847,   1.5432E-008,  
497.861,   1.3628E-008,  
498.875,   1.7568E-008,  
499.889,   1.5905E-008,  
500.903,   1.3307E-008,  
501.917,   1.5075E-008,  
502.931,   1.7080E-008,  
503.945,   1.5874E-008,  
504.959,   1.6472E-008,  
505.973,   1.4317E-008,  
506.987,   1.8910E-008,  
508.001,   1.5025E-008,  
509.015,   1.6437E-008,  
510.029,   1.3427E-008,  
511.043,   1.6834E-008,  
512.057,   1.5402E-008,  
513.071,   1.4397E-008,  
514.085,   1.5950E-008,  
515.099,   1.5915E-008,  
516.113,   1.4930E-008,  
517.127,   1.5015E-008,  
518.141,   1.4317E-008,  
519.155,   1.6538E-008,  
520.169,   1.6698E-008,  
521.183,   1.4864E-008,  
522.197,   1.5191E-008,  
523.211,   1.7035E-008,  
524.225,   1.5070E-008,  
525.239,   1.5101E-008,  
526.253,   1.5462E-008,  
527.267,   1.6628E-008,  
528.281,   1.6090E-008,  
529.295,   1.3136E-008,  
530.309,   1.4558E-008,  
531.323,   1.4724E-008,  
532.337,   1.5000E-008,  
533.351,   1.5141E-008,  
534.365,   1.4799E-008,  
535.379,   1.6000E-008,  
536.393,   1.7256E-008,  
537.407,   1.4985E-008,  
538.421,   1.3749E-008,  
539.435,   1.6920E-008,  
540.450,   1.5915E-008,  
541.464,   1.3146E-008,  
542.478,   1.4513E-008,  
543.492,   1.5894E-008,  
544.506,   1.5005E-008,  
545.520,   1.5462E-008,  
546.534,   1.3593E-008,  
547.548,   1.6588E-008,  
548.562,   1.6688E-008,  
549.576,   1.2462E-008,  
550.590,   1.5844E-008,  
551.604,   1.4467E-008,  
552.618,   1.4940E-008,  
553.632,   1.4613E-008,  
554.646,   1.6146E-008,  
555.660,   1.4573E-008,  
556.674,   1.4729E-008,  
557.688,   1.5467E-008,  
558.702,   1.5417E-008,  
559.716,   1.5241E-008,  
560.730,   1.5734E-008,  
561.744,   1.2437E-008,  
562.758,   1.4789E-008,  
563.772,   1.5447E-008,  
564.786,   1.5266E-008,  
565.800,   1.3578E-008,  
566.814,   1.3266E-008,  
567.828,   1.5342E-008,  
568.842,   1.6266E-008,  
569.856,   1.3668E-008,  
570.870,   1.6759E-008,  
571.884,   1.5859E-008,  
572.898,   1.4377E-008,  
573.912,   1.4030E-008,  
574.926,   1.5482E-008,  
575.940,   1.6899E-008,  
576.954,   1.7101E-008,  
577.968,   1.1693E-008,  
578.982,   1.4663E-008,  
579.996,   1.3678E-008,  
581.010,   1.4085E-008,  
582.024,   1.1945E-008,  
